article_id,title,product_area,last_updated,tags,body
KB-001,SSO Troubleshooting,Talent Acquisition,2025-12-14,how-to;policy,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Firefox scenario."
KB-002,SSO Troubleshooting,Reporting,2025-10-26,faq;troubleshooting,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Chrome scenario."
KB-003,SSO Troubleshooting,Reporting,2025-11-09,faq;policy,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Edge scenario."
KB-004,SSO Troubleshooting,Reporting,2025-11-17,best-practice;release-note,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Firefox scenario."
KB-005,SSO Troubleshooting,Reporting,2025-10-11,best-practice;faq,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Chrome scenario."
KB-006,SSO Troubleshooting,Time & Attendance,2025-10-30,how-to;release-note,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Firefox scenario."
KB-007,SSO Troubleshooting,Core Platform,2025-12-19,best-practice;faq,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Edge scenario."
KB-008,SSO Troubleshooting,Talent Acquisition,2025-11-25,best-practice;faq,"Common SSO errors include invalid audience, missing NameID, and certificate expiry. Verify IdP metadata, role mapping, and SCIM provisioning logs. If users see a redirect loop, confirm ACS URL and relay state settings. Example: Edge scenario."
KB-009,Report Data Freshness,Time & Attendance,2025-11-04,faq;how-to,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Edge scenario."
KB-010,Report Data Freshness,Talent Acquisition,2025-10-30,best-practice;how-to,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Chrome scenario."
KB-011,Report Data Freshness,Onboarding,2025-11-07,policy;release-note,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Edge scenario."
KB-012,Report Data Freshness,Integrations,2025-10-11,best-practice;troubleshooting,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Firefox scenario."
KB-013,Report Data Freshness,Onboarding,2025-10-10,best-practice;how-to,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Chrome scenario."
KB-014,Report Data Freshness,Reporting,2025-11-12,best-practice;troubleshooting,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Firefox scenario."
KB-015,Report Data Freshness,Time & Attendance,2025-11-05,release-note;troubleshooting,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Edge scenario."
KB-016,Report Data Freshness,Integrations,2025-12-09,best-practice;how-to,"Dashboards update after nightly ETL (02:00 local) and incremental jobs every 2 hours. For stale metrics, validate ETL completion and refresh cached aggregates. Time zone mismatch can cause 'yesterday' filters to return unexpected results. Example: Chrome scenario."
KB-017,CSV Import Template,Time & Attendance,2025-11-14,faq;policy,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Edge scenario.
KB-018,CSV Import Template,Integrations,2025-10-02,faq;release-note,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Firefox scenario.
KB-019,CSV Import Template,Talent Acquisition,2025-10-30,policy;troubleshooting,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Chrome scenario.
KB-020,CSV Import Template,Reporting,2025-12-06,policy;release-note,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Edge scenario.
KB-021,CSV Import Template,Integrations,2025-11-29,best-practice;how-to,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Edge scenario.
KB-022,CSV Import Template,Reporting,2025-11-24,faq;policy,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Edge scenario.
KB-023,CSV Import Template,Talent Acquisition,2025-11-27,how-to;release-note,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Chrome scenario.
KB-024,CSV Import Template,Reporting,2025-12-13,best-practice;troubleshooting,Imports require ISO date format YYYY-MM-DD; avoid locale formats like MM/DD/YYYY. Use UTF-8 encoding; remove formulas; ensure headers match the template exactly. Dry-run mode returns row-level validation errors for quick remediation. Example: Edge scenario.
KB-025,API Rate Limits,Onboarding,2025-12-03,best-practice;policy,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Firefox scenario.
KB-026,API Rate Limits,Reporting,2025-11-23,faq;policy,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Edge scenario.
KB-027,API Rate Limits,Core Platform,2025-11-08,best-practice;release-note,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Firefox scenario.
KB-028,API Rate Limits,Core Platform,2025-10-05,policy;troubleshooting,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Chrome scenario.
KB-029,API Rate Limits,Core Platform,2025-12-20,policy;release-note,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Edge scenario.
KB-030,API Rate Limits,Talent Acquisition,2025-11-18,faq;troubleshooting,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Firefox scenario.
KB-031,API Rate Limits,Core Platform,2025-11-19,faq;troubleshooting,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Chrome scenario.
KB-032,API Rate Limits,Time & Attendance,2025-12-12,best-practice;faq,Rate limiting returns HTTP 429 with Retry-After and X-RateLimit headers. Implement exponential backoff and request batching where possible. Rotate tokens and confirm scopes when receiving 401 responses. Example: Chrome scenario.
KB-033,Entitlements and Seats,Reporting,2025-10-14,policy;release-note,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Chrome scenario."
KB-034,Entitlements and Seats,Onboarding,2025-12-17,faq;how-to,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Chrome scenario."
KB-035,Entitlements and Seats,Reporting,2025-10-09,best-practice;faq,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Chrome scenario."
KB-036,Entitlements and Seats,Reporting,2025-11-07,policy;release-note,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Chrome scenario."
KB-037,Entitlements and Seats,Talent Acquisition,2025-10-08,best-practice;release-note,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Chrome scenario."
KB-038,Entitlements and Seats,Reporting,2025-11-11,faq;policy,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Chrome scenario."
KB-039,Entitlements and Seats,Onboarding,2025-10-17,faq;release-note,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Chrome scenario."
KB-040,Entitlements and Seats,Integrations,2025-10-09,faq;troubleshooting,"Seat limit errors occur when allocated users exceed purchased entitlements. If a feature is disabled unexpectedly, refresh entitlements after SKU changes. Billing corrections require contract verification and invoice adjustment workflow. Example: Edge scenario."
KB-041,UI Troubleshooting,Reporting,2025-11-09,faq;policy,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Chrome scenario."
KB-042,UI Troubleshooting,Core Platform,2025-12-13,best-practice;release-note,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Chrome scenario."
KB-043,UI Troubleshooting,Core Platform,2025-11-28,best-practice;troubleshooting,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Chrome scenario."
KB-044,UI Troubleshooting,Reporting,2025-11-27,faq;how-to,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Chrome scenario."
KB-045,UI Troubleshooting,Reporting,2025-12-07,best-practice;release-note,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Firefox scenario."
KB-046,UI Troubleshooting,Talent Acquisition,2025-11-29,how-to;release-note,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Edge scenario."
KB-047,UI Troubleshooting,Onboarding,2025-11-06,faq;policy,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Firefox scenario."
KB-048,UI Troubleshooting,Integrations,2025-11-08,faq;release-note,"Browser cache and extensions can affect rendering; test in incognito mode. If modals overlap, capture viewport size and browser version. Console logs and network traces help isolate regressions. Example: Edge scenario."
